"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"positive-convergence-time"
"06/09/2026 15:51:18:978 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","ticks","mean-opinion","sd-opinion"
"189","100000","0.2","20","0","pos","99999","100000","0.09651790256296312","0.04950414539809664"
"192","100000","0.2","20","0","pos","99999","100000","0.0971488945880565","0.03575882053461439"
"194","100000","0.2","20","0","pos","99999","100000","0.10271349417154939","0.04262341987673504"
"195","100000","0.2","20","0","pos","99999","100000","0.12238449715355369","0.02150391869330863"
"190","100000","0.2","20","0","pos","99999","100000","0.11559632338287935","0.026120620669653673"
"196","100000","0.2","20","0","pos","99999","100000","0.10521753832667091","0.020415854356944166"
"191","100000","0.2","20","0","pos","99999","100000","0.12258341126384693","0.027317182492352002"
"197","100000","0.2","20","0","pos","99999","100000","0.10461982801264899","0.0494404035602774"
"193","100000","0.2","20","0","pos","99999","100000","0.13853038161003267","0.027954190557794127"
"199","100000","0.2","20","0","pos","99999","100000","0.1071616270510368","0.03887432718219696"
"201","100000","0.2","20","0","pos","99999","100000","0.10271735105195902","0.02967127258103188"
"200","100000","0.2","20","0","pos","99999","100000","0.10043357005649595","0.036913314356409654"
"203","100000","0.2","20","0","pos","99999","100000","0.09539941465617816","0.027394740188934275"
"198","100000","0.2","20","0","pos","99999","100000","0.10747371560004802","0.038665074180828596"
"205","100000","0.2","20","0","pos","99999","100000","0.10547530155965659","0.030628469359952237"
"202","100000","0.2","20","0","pos","99999","100000","0.08281708267047186","0.033430719117870066"
"204","100000","0.2","20","0","pos","99999","100000","0.10900044242691359","0.02864279102199733"
"207","100000","0.2","20","0","pos","99999","100000","0.12726207269506815","0.04130899489824078"
"208","100000","0.2","20","0","pos","99999","100000","0.11582485567079584","0.029446010983532597"
"209","100000","0.2","20","0","pos","99999","100000","0.08891578967656176","0.04255799975262321"
"206","100000","0.2","20","0","pos","99999","100000","0.11817440053998085","0.04436796195356521"
"210","100000","0.2","20","0","pos","99999","100000","0.10681827498394525","0.04095605376518624"
"212","100000","0.2","30","0","pos","99999","100000","0.1177356132917755","0.020802118105399125"
"211","100000","0.2","30","0","pos","99999","100000","0.11082186250865854","0.03224613750261743"
"213","100000","0.2","30","0","pos","99999","100000","0.08970624233143176","0.02909580524567985"
"214","100000","0.2","30","0","pos","99999","100000","0.1034116610101531","0.049159709250495606"
"215","100000","0.2","30","0","pos","99999","100000","0.10166134140277154","0.02162025157525123"
"216","100000","0.2","30","0","pos","99999","100000","0.09112782330786787","0.023917022417912135"
"217","100000","0.2","30","0","pos","99999","100000","0.10387023393486619","0.020608516013151383"
"219","100000","0.2","30","0","pos","99999","100000","0.0989471735153443","0.016528885727757944"
"218","100000","0.2","30","0","pos","99999","100000","0.10563500713952512","0.023363027134831255"
"220","100000","0.2","30","0","pos","99999","100000","0.10199767852746189","0.020166068289164053"
"221","100000","0.2","30","0","pos","99999","100000","0.11545254859475605","0.045934844673366636"
"222","100000","0.2","30","0","pos","99999","100000","0.1194174645122875","0.044313475839565804"
"223","100000","0.2","30","0","pos","99999","100000","0.1125982242869008","0.022001463511968234"
"224","100000","0.2","30","0","pos","99999","100000","0.10269723034315113","0.030543478589104413"
"225","100000","0.2","30","0","pos","99999","100000","0.12069148362663511","0.031581841366958185"
"227","100000","0.2","30","0","pos","99999","100000","0.1027180721848869","0.025057372366251614"
"226","100000","0.2","30","0","pos","99999","100000","0.11540038505807293","0.016427102900078382"
"229","100000","0.2","30","0","pos","99999","100000","0.11093371135517893","0.03252882887450322"
"228","100000","0.2","30","0","pos","99999","100000","0.10193074813471215","0.035548713949100925"
"230","100000","0.2","30","0","pos","99999","100000","0.10867177313566748","0.01429989237608605"
"233","100000","0.2","30","0","pos","99999","100000","0.11533459403851697","0.023502339053339243"
"231","100000","0.2","30","0","pos","99999","100000","0.11224908814745566","0.029050737107002032"
"234","100000","0.2","30","0","pos","99999","100000","0.102993784577062","0.037141392274518396"
"235","100000","0.2","30","0","pos","99999","100000","0.11274854199457197","0.029215403043756524"
"236","100000","0.2","30","0","pos","99999","100000","0.09369158248686275","0.04533002356269382"
"232","100000","0.2","30","0","pos","99999","100000","0.11277174272928987","0.021412582807335344"
